ID,Категория,Сложность,Вопрос,Вариант A,Вариант B,Вариант C,Вариант D,Правильный (A/B/C/D),Объяснение,OK? (да/нет),Комментарий
q-analytics-1,ANALYTICS,EASY,Какой показатель отражает долю товара в общих продажах категории?,CTR,Доля рынка,Конверсия,ROI,B,Доля рынка показывает какой процент от общих продаж категории занимает ваш товар.,,
q-analytics-2,ANALYTICS,MEDIUM,Что означает термин ABC-анализ в контексте управления ассортиментом?,Анализ конкурентов,Классификация товаров по вкладу в выручку,Анализ рекламных кампаний,Оценка качества товаров,B,"ABC-анализ делит товары на группы A (20% товаров = 80% выручки), B и C по их вкладу.",,
q-analytics-3,ANALYTICS,MEDIUM,Как рассчитывается оборачиваемость товара?,Выручка / Средний остаток,Прибыль / Затраты,Продажи / Показы,Заказы / Визиты,A,Оборачиваемость = Выручка за период / Средний остаток товара на складе.,,
q-analytics-4,ANALYTICS,HARD,Что такое когортный анализ в e-commerce?,Анализ возвратов,Группировка клиентов по времени первой покупки,Анализ ценовых сегментов,Сравнение категорий товаров,B,Когортный анализ группирует клиентов по дате первой покупки для отслеживания LTV.,,
q-analytics-5,ANALYTICS,EASY,Какой инструмент MPSTATS показывает динамику продаж конкурентов?,Категорийный анализ,Трекинг товаров,SEO-анализ,Анализ отзывов,B,"Трекинг товаров позволяет отслеживать продажи, остатки и цены конкурентов.",,
q-analytics-6,ANALYTICS,MEDIUM,Что такое sell-through rate?,Процент проданных единиц от поставленных,Скорость доставки,Коэффициент конверсии,Процент возвратов,A,Sell-through rate = Проданные единицы / Поставленные единицы × 100%. Показывает скорость продаж.,,
q-analytics-7,ANALYTICS,EASY,Какой показатель лучше всего отражает сезонность спроса на товар?,Средний чек,Динамика поисковых запросов по месяцам,Количество отзывов,Рейтинг товара,B,Динамика поисковых запросов показывает когда спрос растёт и падает — ключевой индикатор сезонности.,,
q-analytics-8,ANALYTICS,HARD,"Как определить, что ниша перенасыщена конкурентами?",Много товаров с рейтингом ниже 4.0,Высокое соотношение продавцов к объёму продаж,Низкие цены на все товары,Отсутствие рекламы в выдаче,B,"Когда продавцов много, а объём продаж не растёт — ниша перенасыщена, доля каждого падает.",,
q-analytics-9,ANALYTICS,MEDIUM,"Что показывает метрика ""Упущенная выручка""?",Сумму возвратов,"Потенциальные продажи, потерянные из-за out-of-stock",Разницу между плановыми и фактическими продажами,Стоимость нераспроданного остатка,B,"Упущенная выручка — это продажи, которые не состоялись из-за отсутствия товара на складе.",,
q-analytics-10,ANALYTICS,EASY,Какой тип графика лучше всего подходит для сравнения продаж по категориям?,Линейный график,Столбчатая диаграмма,Круговая диаграмма,Точечная диаграмма,B,Столбчатая диаграмма лучше всего визуализирует сравнение дискретных категорий по объёму.,,
q-analytics-11,ANALYTICS,HARD,Что такое RFM-анализ?,Анализ рекламных форматов,"Сегментация клиентов по частоте, давности и сумме покупок",Анализ рентабельности маркетинга,Расчёт финансовой модели,B,"RFM (Recency, Frequency, Monetary) — метод сегментации клиентов по поведению покупок.",,
q-analytics-12,ANALYTICS,EASY,Как рассчитать конверсию карточки товара?,Заказы / Показы × 100%,Заказы / Клики × 100%,Клики / Показы × 100%,Выручка / Заказы × 100%,B,Конверсия карточки = Заказы / Посетители (клики) × 100%. Показывает эффективность карточки.,,
q-analytics-13,ANALYTICS,MEDIUM,Какой период лучше использовать для анализа трендов на маркетплейсе?,Последние 7 дней,Последний месяц,Минимум 3 месяца,Последний год,C,"Минимум 3 месяца дают достаточно данных для выявления трендов, исключая краткосрочные флуктуации.",,
q-analytics-14,ANALYTICS,HARD,Что такое индекс видимости товара?,Позиция товара в выдаче,Количество показов за период,Комбинированная метрика позиции и частоты показа,Доля в рекламном аукционе,C,"Индекс видимости учитывает и позицию в выдаче, и частоту показа по разным запросам.",,
q-analytics-15,ANALYTICS,MEDIUM,Какой показатель важнее для оценки эффективности SEO на маркетплейсе?,Количество ключевых слов в описании,Позиция по целевым запросам,Длина описания,Количество характеристик,B,Позиция по целевым запросам — прямой показатель эффективности SEO-оптимизации карточки.,,
q-analytics-16,ANALYTICS,HARD,Что даёт кластерный анализ конкурентов?,Список всех конкурентов,Группировку конкурентов по схожим стратегиям,Рейтинг конкурентов по выручке,Прогноз действий конкурентов,B,"Кластерный анализ группирует конкурентов по схожим характеристикам (цена, ассортимент, стратегия).",,
q-analytics-17,ANALYTICS,MEDIUM,Как рассчитать среднюю позицию товара в выдаче?,Сумма позиций / Количество запросов,Максимальная позиция по всем запросам,Медиана позиций по ключевым запросам,Позиция по самому частотному запросу,A,Средняя позиция = сумма позиций по всем отслеживаемым запросам / количество запросов.,,
q-analytics-18,ANALYTICS,HARD,Что такое каннибализация в ассортименте?,Конкуренты копируют ваш товар,Ваши собственные товары конкурируют друг с другом,Снижение цены одним продавцом,Блокировка карточки маркетплейсом,B,Каннибализация — когда ваши товары забирают продажи друг у друга вместо привлечения новых покупателей.,,
q-analytics-19,ANALYTICS,EASY,Какой показатель помогает оценить эффективность работы с отзывами?,Общее количество отзывов,Соотношение положительных и отрицательных отзывов,Длина среднего отзыва,Количество отзывов с фото,B,Соотношение позитивных/негативных отзывов показывает общую удовлетворённость и эффективность работы с негативом.,,
q-analytics-20,ANALYTICS,HARD,Что такое эластичность спроса по цене?,Изменение цены конкурентов,Процентное изменение спроса при изменении цены на 1%,Максимальная допустимая цена,"Скидка, при которой начинается рост продаж",B,Эластичность спроса показывает на сколько % изменится спрос при изменении цены на 1%.,,
q-marketing-1,MARKETING,EASY,Что такое CTR в контексте рекламы на маркетплейсе?,Стоимость клика,Отношение кликов к показам,Конверсия в покупку,Рентабельность рекламы,B,CTR (Click-Through Rate) = Клики / Показы × 100%. Показывает привлекательность объявления.,,
q-marketing-2,MARKETING,MEDIUM,Какой тип рекламной кампании на WB даёт максимальный охват?,Поиск + Каталог,Только Поиск,Автоматическая кампания,Карточка товара,C,"Автоматическая кампания охватывает все плейсменты: поиск, каталог, карточки, рекомендации.",,
q-marketing-3,MARKETING,MEDIUM,Что такое ДРР в контексте рекламы?,Дневной рекламный расход,Доля рекламных расходов в выручке,Динамика рекламного ранга,Дополнительный рекламный ресурс,B,ДРР = Расходы на рекламу / Выручка от рекламы × 100%. Ключевая метрика эффективности.,,
q-marketing-4,MARKETING,HARD,Как влияет участие в акции на органическое ранжирование товара?,Никак не влияет,Временно повышает за счёт роста продаж,Всегда снижает позиции,Влияет только на платные размещения,B,"Рост продаж во время акции улучшает позиции, но эффект временный без поддержки.",,
q-marketing-5,MARKETING,EASY,Какой минимальный бюджет для запуска рекламы на Wildberries?,100 рублей,500 рублей,1000 рублей,5000 рублей,B,Минимальный бюджет для запуска рекламной кампании на WB — 500 рублей.,,
q-marketing-6,MARKETING,MEDIUM,Что такое ACOS в рекламе на маркетплейсе?,Средняя стоимость заказа,Доля рекламных расходов от продаж,Количество активных кампаний,Автоматический контроль ставок,B,ACOS (Advertising Cost of Sales) = Рекламный расход / Выручка от рекламы × 100%.,,
q-marketing-7,MARKETING,EASY,Какой фактор сильнее всего влияет на позицию товара в поисковой выдаче WB?,Цена товара,Объём продаж и конверсия,Количество фото в карточке,Длина описания,B,Алгоритм WB приоритизирует товары с высокими продажами и хорошей конверсией.,,
q-marketing-8,MARKETING,MEDIUM,"Что такое ""ставка"" в рекламном аукционе WB?",Фиксированная цена за показ,"Максимальная сумма, которую продавец готов платить за 1000 показов",Процент от продажи,Комиссия маркетплейса,B,"Ставка — это CPM (цена за 1000 показов), которую продавец устанавливает в аукционе.",,
q-marketing-9,MARKETING,HARD,Когда лучше всего запускать рекламу нового товара на WB?,Сразу после создания карточки,После получения первых 10 отзывов,Только в сезон,После выхода в топ органически,B,Реклама без отзывов неэффективна — покупатели не доверяют товарам без социального доказательства.,,
q-marketing-10,MARKETING,MEDIUM,"Что такое ""выкупаемость"" и как она влияет на маркетинг?","Процент заказов, которые выкупают — влияет на рентабельность рекламы",Скорость продажи товара — влияет на бюджет,Процент повторных покупок — влияет на LTV,Доля корзины — влияет на конверсию,A,"Низкая выкупаемость увеличивает реальную стоимость привлечения клиента, снижая ROI рекламы.",,
q-marketing-11,MARKETING,HARD,"Как работает ""буст"" новинок на WB?",WB автоматически показывает новые товары всем,Новинки получают временное повышение в выдаче при хороших продажах,Новинки всегда на первой странице,Буст доступен только по подписке,B,"WB даёт новым товарам временное преимущество, но для его сохранения нужны хорошие продажи и конверсия.",,
q-marketing-12,MARKETING,EASY,Какой формат рекламы на Ozon наиболее эффективен для увеличения продаж?,Баннеры на главной,Трафареты (поисковая реклама),Видеореклама,Push-уведомления,B,Трафареты показывают товар прямо в поисковой выдаче — максимально горячая аудитория.,,
q-marketing-13,MARKETING,HARD,"Что такое ""каскадная стратегия"" в рекламе на маркетплейсе?",Последовательный запуск разных типов рекламы,Постепенное увеличение бюджета,Запуск рекламы на нескольких МП одновременно,Серия акций подряд,A,"Каскадная стратегия: сначала поиск (горячий спрос), потом каталог (тёплый), потом ретаргетинг.",,
q-marketing-14,MARKETING,MEDIUM,Как SEO-оптимизация карточки помогает рекламе?,Никак не связано,"Улучшает Quality Score, снижая стоимость рекламы",Позволяет рекламировать без бюджета,Автоматически запускает рекламу,B,"Хорошо оптимизированная карточка имеет лучший Quality Score, что снижает CPM в аукционе.",,
q-marketing-15,MARKETING,EASY,"Что такое ""бренд-зона"" на WB?",Раздел для крупных брендов,Специальный блок в выдаче с несколькими товарами продавца,Защита торговой марки,Зона на складе для брендированных товаров,B,"Бренд-зона — рекламный формат, показывающий несколько товаров бренда в одном блоке.",,
q-marketing-16,MARKETING,HARD,Как рассчитать оптимальную ставку для рекламы?,Поставить максимальную и ждать,ДРР × Средний чек / 1000,Бюджет / Количество товаров,Цена товара / 10,B,Оптимальная CPM ставка = Целевой ДРР × Средний чек / 1000. Так вы контролируете рентабельность.,,
q-marketing-17,MARKETING,EASY,"Что такое ""самовыкупы"" и почему они опасны?",Легальный способ поднять продажи,"Фиктивные покупки, которые нарушают правила МП и грозят блокировкой",Выкуп собственных возвратов,Скупка остатков конкурентов,B,Самовыкупы нарушают правила маркетплейсов и могут привести к блокировке кабинета.,,
q-marketing-18,MARKETING,MEDIUM,Какой показатель важнее для оценки рекламной кампании: CTR или конверсия?,CTR всегда важнее,Конверсия всегда важнее,Зависит от цели: трафик (CTR) или продажи (конверсия),"Оба не важны, важен только ROI",C,"Если цель — осведомлённость и трафик, важен CTR. Если цель — продажи, важна конверсия.",,
q-marketing-19,MARKETING,EASY,Что такое ретаргетинг на маркетплейсе?,"Повторный показ рекламы пользователям, которые уже взаимодействовали с товаром",Перенацеливание рекламы на другую аудиторию,Смена рекламного формата,Перезапуск кампании с новыми настройками,A,"Ретаргетинг показывает рекламу тем, кто уже смотрел товар — у них выше вероятность покупки.",,
q-marketing-20,MARKETING,MEDIUM,Как влияет скорость доставки на эффективность рекламы?,Не влияет,Быстрая доставка повышает конверсию и снижает стоимость привлечения,Влияет только на премиум-сегмент,Важна только для FBS,B,"Быстрая доставка увеличивает конверсию, что снижает стоимость привлечения одного покупателя.",,
q-content-1,CONTENT,EASY,Какой оптимальный размер главного фото карточки товара на WB?,500x500,900x1200,1000x1000,1920x1080,B,Рекомендуемый размер 900x1200 (соотношение 3:4) для оптимального отображения.,,
q-content-2,CONTENT,EASY,Сколько характеристик рекомендуется заполнять в карточке товара?,Только обязательные,Минимум 50%,Максимально возможное количество,10-15 штук,C,"Чем больше заполнено характеристик, тем лучше индексация и попадание в фильтры.",,
q-content-3,CONTENT,MEDIUM,Что такое Rich-контент на маркетплейсе?,Видео-обзор товара,Расширенное описание с инфографикой,3D-модель товара,Отзывы с фото,B,"Rich-контент — это расширенное описание с изображениями, таблицами, инфографикой.",,
q-content-4,CONTENT,MEDIUM,Как влияет видео в карточке на конверсию?,Не влияет,Снижает загрузку страницы,Повышает конверсию на 10-30%,Влияет только на дорогие товары,C,"По статистике, видео в карточке повышает конверсию на 10-30% за счёт доверия.",,
q-content-5,CONTENT,EASY,Какой элемент карточки больше всего влияет на CTR в выдаче?,Описание,Характеристики,Главное фото,Отзывы,C,"Главное фото — первое, что видит покупатель. Оно определяет 80% решения о клике.",,
q-content-6,CONTENT,EASY,Какое максимальное количество фото рекомендуется для карточки товара?,3-5 фото,5-7 фото,10-15 фото (максимум площадки),Не более 3,C,Рекомендуется использовать максимум площадки (10-15) для полного раскрытия товара.,,
q-content-7,CONTENT,EASY,Что такое инфографика на втором слайде карточки?,Фото товара крупным планом,Изображение с ключевыми преимуществами и характеристиками,Фото упаковки,Скриншот отзывов,B,Инфографика на 2-м слайде показывает ключевые преимущества товара в визуальном формате.,,
q-content-8,CONTENT,MEDIUM,Как правильно использовать ключевые слова в описании товара?,Повторять главное слово максимальное число раз,Естественно вписывать релевантные запросы в текст,Добавить все ключевики в конце описания списком,"Использовать только в названии, в описании не нужно",B,Ключевые слова должны естественно вписываться в текст — спам снижает ранжирование.,,
q-content-9,CONTENT,MEDIUM,Что такое A+ контент на Amazon/Ozon?,Премиальная подписка,"Расширенный блок с графикой, таблицами и историей бренда",Автоматически генерируемое описание,Специальный рейтинг качества,B,A+ контент (Enhanced Brand Content) — расширенный блок описания с визуальными элементами.,,
q-content-10,CONTENT,EASY,Какой тип фото лучше для демонстрации размера товара?,Фото на белом фоне,"Фото с масштабным объектом (рука, линейка)",Студийное фото,Фото в упаковке,B,Фото с масштабным объектом помогает покупателю понять реальный размер и снижает возвраты.,,
q-content-11,CONTENT,MEDIUM,Как правильно составить название товара для SEO?,Бренд + ключевое слово + характеристики + преимущества,Только бренд и модель,Максимально длинное название со всеми запросами,Креативное продающее название,A,Формула: Бренд + Тип товара + Ключевые характеристики. Баланс SEO и читаемости.,,
q-content-12,CONTENT,MEDIUM,Какой формат видео лучше работает в карточке товара?,Длинный обзор 5-10 минут,Короткий ролик 15-30 секунд с ключевыми преимуществами,Распаковка,Интервью с производителем,B,Короткие ролики 15-30 сек удерживают внимание и показывают главное — идеальный формат для МП.,,
q-content-13,CONTENT,HARD,"Что такое ""water-mark"" стратегия в контенте карточки?",Водяной знак на фото,Постепенное улучшение контента по мере роста продаж,Специальная обработка фото,Защита авторских прав,B,"Стратегия: начать с базового контента, постепенно улучшать по мере роста продаж и ROI.",,
q-content-14,CONTENT,MEDIUM,Как часто нужно обновлять контент карточки?,"Никогда, если продаётся",Каждую неделю,При изменении конверсии или перед сезоном,Каждый день,C,"Обновляйте контент при падении конверсии, перед сезоном или при изменении конкурентной среды.",,
q-content-15,CONTENT,EASY,Что такое UGC (User Generated Content) и как его использовать?,"Контент, созданный маркетплейсом","Фото и видео от покупателей, используемые в карточке",Автоматически генерируемые описания,Контент партнёрских программ,B,UGC — контент от покупателей (отзывы с фото/видео). Повышает доверие и конверсию.,,
q-content-16,CONTENT,HARD,Какой тип инфографики наиболее эффективен для технически сложных товаров?,Красивые абстрактные фоны,Сравнительные таблицы и схемы с цифрами,Эмоциональные lifestyle фото,Отзывы клиентов в формате цитат,B,Для сложных товаров работают сравнительные таблицы и конкретные цифры — они помогают принять решение.,,
q-content-17,CONTENT,EASY,Как влияет структура описания на восприятие покупателем?,Длинный сплошной текст показывает экспертность,"Структурированный текст с абзацами, списками и подзаголовками читается лучше",Покупатели не читают описание,Важна только длина описания,B,Структурированный текст с подзаголовками и списками сканируется быстрее и лучше воспринимается.,,
q-content-18,CONTENT,HARD,"Что такое ""сторителлинг"" в описании товара на маркетплейсе?",Написание длинных историй,Описание товара через сценарии использования и выгоды,Копирование описаний конкурентов,Использование сленга в описании,B,Сторителлинг — показать товар в контексте жизни покупателя: проблема → решение → результат.,,
q-content-19,CONTENT,HARD,Какой фон лучше для главного фото одежды?,Сплошной белый фон,Модель в реальной обстановке,Яркий цветной фон,Зависит от категории и конкурентов,D,"Выбор фона зависит от категории и того, что используют лидеры ниши — нужен A/B тест.",,
q-content-20,CONTENT,MEDIUM,Как проверить эффективность контента карточки?,Спросить друзей,Сравнить CTR и конверсию до и после изменений,Посмотреть количество просмотров,Проверить позицию в выдаче,B,A/B сравнение CTR и конверсии до/после изменений — единственный объективный метод оценки.,,
q-operations-1,OPERATIONS,EASY,Что такое FBO на маркетплейсе?,Продажа со своего склада,Хранение и доставка силами маркетплейса,Кросс-докинг,Дропшиппинг,B,"FBO (Fulfillment by Operator) — товар хранится на складе МП, доставка силами МП.",,
q-operations-2,OPERATIONS,HARD,Как рассчитать страховой запас товара?,Средние продажи × 30 дней,Максимальные продажи × срок поставки,(Макс. продажи - средние) × срок поставки,Минимальные продажи × 2,C,Страховой запас покрывает колебания спроса: (Пик - Среднее) × Время поставки.,,
q-operations-3,OPERATIONS,MEDIUM,Что происходит при out-of-stock на WB?,Карточка удаляется,Позиции в выдаче падают,Ничего не меняется,Рейтинг снижается,B,"При отсутствии на складе позиции падают, восстановление занимает время.",,
q-operations-4,OPERATIONS,MEDIUM,Какой срок хранения товара на складе WB до начала платного хранения?,30 дней,60 дней,90 дней,120 дней,B,"Бесплатное хранение — 60 дней, далее начисляется плата за хранение.",,
q-operations-5,OPERATIONS,MEDIUM,Что такое коэффициент приёмки на WB?,Скидка за объём поставки,Множитель к базовой цене за логистику,Оценка качества поставки,Рейтинг поставщика,B,Коэффициент приёмки может увеличивать или уменьшать стоимость логистики.,,
q-operations-6,OPERATIONS,EASY,В чём разница между FBO и FBS?,"FBO дешевле, FBS быстрее","FBO — хранение на складе МП, FBS — отправка со своего склада","FBO для крупных продавцов, FBS для мелких","Разницы нет, это синонимы",B,"FBO: товар на складе маркетплейса. FBS: товар на вашем складе, отправляете сами при заказе.",,
q-operations-7,OPERATIONS,HARD,Как рассчитать необходимый объём первой поставки?,Заказать максимум,Средние продажи в нише × (срок поставки + 14 дней тестирования),Минимальная партия от производителя,100 штук для теста,B,Первая поставка = ожидаемые продажи × (срок следующей поставки + буфер). Так вы не уйдёте в out-of-stock.,,
q-operations-8,OPERATIONS,MEDIUM,Что такое кросс-докинг?,Перевозка между складами МП,"Товар не хранится на складе, а сразу отправляется покупателю",Совместная поставка нескольких продавцов,Возврат товара поставщику,B,Кросс-докинг: товар поступает на сортировочный центр и сразу отправляется получателю без хранения.,,
q-operations-9,OPERATIONS,HARD,Как оптимизировать стоимость логистики при FBO?,Отправлять товар только на ближайший склад,Распределять товар по нескольким складам ближе к покупателям,Всегда выбирать самый дешёвый склад,Логистику оптимизировать невозможно,B,Распределение по складам снижает стоимость последней мили и ускоряет доставку.,,
q-operations-10,OPERATIONS,EASY,Что такое WMS в контексте складской логистики?,Рейтинг склада,Система управления складом,Стандарт маркировки,Формат упаковки,B,WMS (Warehouse Management System) — система учёта и управления складскими операциями.,,
q-operations-11,OPERATIONS,MEDIUM,Как снизить процент возвратов?,Снизить цену,"Улучшить контент карточки, чтобы ожидания совпадали с реальностью",Увеличить срок доставки,Убрать бесплатную доставку,B,Точное описание и качественные фото снижают разницу между ожиданиями и реальностью.,,
q-operations-12,OPERATIONS,MEDIUM,"Что такое ""дефектура"" в управлении запасами?",Брак на производстве,Нехватка товара на складе при наличии спроса,Дефект упаковки,Ошибка в маркировке,B,"Дефектура — ситуация, когда товар отсутствует на складе, но спрос есть. Ведёт к упущенной выручке.",,
q-operations-13,OPERATIONS,EASY,Как правильно маркировать товар для WB?,Достаточно штрих-кода производителя,Нанести баркод WB на каждую единицу товара,Маркировка не требуется,Только для крупногабаритных товаров,B,WB требует баркод на каждой единице — без него товар не примут на склад.,,
q-operations-14,OPERATIONS,MEDIUM,"Что такое ""оборачиваемость склада"" и почему она важна?",Скорость работы складских работников,Как быстро товар продаётся и заменяется новым — влияет на затраты хранения,Количество поставок в месяц,Размер складского помещения,B,"Высокая оборачиваемость = товар быстро продаётся, низкие затраты на хранение, свободные деньги.",,
q-operations-15,OPERATIONS,HARD,Как планировать поставки перед сезоном?,Поставить обычный объём,Увеличить запас на 50-100% за 2-3 недели до пика,Поставить весь запас за день до сезона,Не менять стратегию,B,Перед сезоном нужно заранее увеличить запас — поставки на склад занимают время.,,
q-operations-16,OPERATIONS,EASY,"Что такое ""честный знак"" и когда он нужен?",Знак качества для премиум-товаров,Обязательная цифровая маркировка для определённых категорий товаров,Значок верификации продавца,Награда за безупречную репутацию,B,"""Честный знак"" — система обязательной маркировки товаров (обувь, одежда, парфюм и др.).",,
q-operations-17,OPERATIONS,HARD,Как рассчитать точку перезаказа товара?,Когда остаток = 0,Средние продажи × срок поставки + страховой запас,Когда остаток < 100 штук,По интуиции продавца,B,Точка перезаказа = Ср. продажи/день × Дней поставки + Страховой запас.,,
q-operations-18,OPERATIONS,MEDIUM,В чём преимущество мультискладской стратегии?,Дешевле хранение,Быстрее доставка покупателям и лучше ранжирование,Проще управлять запасами,Меньше возвратов,B,Товар на нескольких складах = быстрая доставка по всей стране + приоритет в выдаче.,,
q-operations-19,OPERATIONS,EASY,Что делать если маркетплейс потерял ваш товар?,Ничего не делать,Подать заявку на компенсацию через личный кабинет,Позвонить в поддержку,Отправить повторную поставку,B,При потере товара нужно оформить заявку на компенсацию — маркетплейс возмещает стоимость.,,
q-operations-20,OPERATIONS,MEDIUM,Как оптимизировать упаковку для снижения логистических затрат?,Использовать самую дешёвую упаковку,Минимизировать габариты при сохранении защиты товара,Всегда использовать коробки,Упаковка не влияет на стоимость,B,Тариф логистики зависит от габаритов — компактная упаковка снижает стоимость доставки.,,
q-finance-1,FINANCE,EASY,Как рассчитать маржинальность товара?,Выручка - Себестоимость,(Выручка - Себестоимость) / Выручка × 100%,Прибыль / Затраты,Продажи / Остаток,B,Маржинальность = (Цена продажи - Себестоимость) / Цена продажи × 100%.,,
q-finance-2,FINANCE,MEDIUM,Что входит в unit-экономику товара на маркетплейсе?,Только себестоимость,Себестоимость + комиссия МП,Все затраты на единицу товара,Только переменные затраты,C,"Unit-экономика включает: себестоимость, логистику, комиссию, рекламу, возвраты.",,
q-finance-3,FINANCE,MEDIUM,"Какая средняя комиссия WB для категории ""Одежда""?",5-10%,10-15%,15-20%,20-25%,C,Комиссия WB для одежды составляет 15-20% в зависимости от подкатегории.,,
q-finance-4,FINANCE,EASY,Что такое ROI в контексте запуска товара?,Возврат инвестиций,Рентабельность операций,Оборачиваемость склада,Индекс качества,A,ROI = (Прибыль - Инвестиции) / Инвестиции × 100%. Показывает окупаемость вложений.,,
q-finance-5,FINANCE,HARD,Как учитывать возвраты в финансовой модели?,"Игнорировать, это редкость",Закладывать средний % по категории,Учитывать только после факта,Включать в рекламный бюджет,B,Нужно закладывать средний % возвратов (5-15% для одежды) в unit-экономику.,,
q-finance-6,FINANCE,EASY,Что такое точка безубыточности?,Минимальная цена товара,"Объём продаж, при котором выручка равна затратам",Максимальная скидка,Минимальный остаток на складе,B,"Точка безубыточности — объём, при котором вы не зарабатываете и не теряете. Выше — прибыль.",,
q-finance-7,FINANCE,MEDIUM,Как рассчитать чистую прибыль с единицы товара на WB?,Цена - Себестоимость,Цена - Себестоимость - Комиссия МП - Логистика - Хранение - Реклама,Цена - Комиссия МП,Выручка × Маржинальность,B,"Чистая прибыль = Цена - ВСЕ затраты (себестоимость, комиссия, логистика, хранение, реклама).",,
q-finance-8,FINANCE,HARD,Что такое cash flow (денежный поток) и почему он важен для селлера?,Сумма на расчётном счёте,Разница между поступлениями и расходами за период,Выручка за месяц,Кредитная линия,B,"Cash flow показывает реальное движение денег — можно быть прибыльным, но без денег на закупку.",,
q-finance-9,FINANCE,MEDIUM,Какой минимальный размер наценки рекомендуется для товаров на маркетплейсе?,30-50%,100-150%,200-300%,500%+,C,Рекомендуемая наценка 200-300% (x3-x4 от себестоимости) — покрывает все затраты МП и оставляет прибыль.,,
q-finance-10,FINANCE,EASY,Что такое SKU-экономика?,Общая прибыль магазина,Расчёт прибыльности каждого отдельного артикула,Количество SKU в ассортименте,Стоимость создания нового SKU,B,"SKU-экономика анализирует каждый артикул отдельно — какие прибыльны, какие убыточны.",,
q-finance-11,FINANCE,MEDIUM,Как WB удерживает комиссию: от цены до скидки или после?,От цены до скидки,От фактической цены продажи (после скидки),Фиксированная сумма за единицу,Зависит от категории,B,WB рассчитывает комиссию от фактической цены продажи — после всех скидок и акций.,,
q-finance-12,FINANCE,HARD,"Что такое ""замороженные деньги"" в контексте МП?","Деньги, потерянные из-за возвратов","Средства, вложенные в товар на складе МП, ещё не проданный",Задержка выплат от маркетплейса,Налоги к уплате,B,"Товар на складе = замороженные деньги. Чем быстрее оборачиваемость, тем меньше заморозка.",,
q-finance-13,FINANCE,EASY,Какой налоговый режим выгоднее для начинающего селлера?,ОСН (общая система),УСН 6% (доходы),УСН 15% (доходы минус расходы),Патент,B,"УСН 6% — самый простой режим для старта: нет учёта расходов, понятный расчёт налога.",,
q-finance-14,FINANCE,MEDIUM,Как рассчитать период окупаемости запуска товара?,Инвестиции / Месячная выручка,Инвестиции / Месячная чистая прибыль,Инвестиции / Маржинальность,Себестоимость × Количество,B,Срок окупаемости = Все инвестиции / Чистая прибыль в месяц. Показывает когда вы выйдете в плюс.,,
q-finance-15,FINANCE,HARD,"Что такое ""финансовая подушка"" и какой размер рекомендуется?",Кредитная линия в банке,Резервный фонд = 2-3 месяца операционных расходов,Страхование товара,Минимальный остаток на счёте МП,B,Финансовая подушка 2-3 месяца расходов защищает от кассовых разрывов и непредвиденных ситуаций.,,
q-finance-16,FINANCE,MEDIUM,Как влияет участие в акции на unit-экономику?,Всегда улучшает,"Снижает маржу за единицу, но может увеличить общую прибыль за счёт объёма",Никак не влияет,Всегда ухудшает,B,"Акция снижает маржу на единицу, но рост продаж может компенсировать это и дать больше общей прибыли.",,
q-finance-17,FINANCE,HARD,Что такое LTV клиента на маркетплейсе?,Стоимость привлечения клиента,Сумма всех покупок клиента за время сотрудничества,Средний чек,Количество повторных покупок,B,"LTV (Lifetime Value) — совокупная прибыль от клиента за весь период. На МП сложно считать, но важно.",,
q-finance-18,FINANCE,HARD,Когда выгоднее перейти с УСН 6% на УСН 15%?,Когда расходы > 60% от выручки,Когда расходы > 40% от выручки,Всегда выгоднее 15%,"Никогда, 6% всегда лучше",A,УСН 15% выгоднее когда подтверждённые расходы > 60% выручки. Иначе УСН 6% проще и дешевле.,,
q-finance-19,FINANCE,EASY,Как рассчитать себестоимость товара из Китая?,Цена от поставщика × курс юаня,Цена товара + доставка + таможня + упаковка + маркировка,Цена товара × 2,Цена от поставщика + доставка,B,Полная себестоимость = закупка + международная доставка + таможня + упаковка + маркировка + доставка до склада.,,
q-finance-20,FINANCE,MEDIUM,"Что такое ""кассовый разрыв"" и как его избежать?",Ошибка в бухгалтерии,"Ситуация когда нет денег на закупку, хотя бизнес прибыльный",Потеря денег из-за возвратов,Банкротство,B,"Кассовый разрыв: деньги ""заморожены"" в товаре/на пути от МП. Избежать: планировать cash flow и держать подушку.",,